Accident year,Region,Ons code,Urban rural,Road class,Light condition,Weather condition,All accidents
2015,North West,E12000002,Urban,C,Darkness - lights lit,Other,3
2015,North West,E12000002,Urban,C,Darkness - lights unlit,Raining no high winds,1
2015,North West,E12000002,Urban,C,Darkness - no lighting,Fine no high winds,1
2015,North West,E12000002,Urban,C,Darkness - no lighting,Raining no high winds,1
2015,North West,E12000002,Urban,C,Darkness - no lighting,Snowing no high winds,1
2015,North West,E12000002,Urban,C,Darkness - no lighting,Fog or mist,1
2015,North West,E12000002,Urban,C,Darkness - lighting unknown,Unknown,1
2015,North West,E12000002,Urban,C,Darkness - lighting unknown,Fine no high winds,8
2015,North West,E12000002,Urban,C,Darkness - lighting unknown,Raining + high winds,1
2015,North West,E12000002,Urban,Unclassified,Daylight,Unknown,55
2015,North West,E12000002,Urban,Unclassified,Daylight,Fine no high winds,2447
2015,North West,E12000002,Urban,Unclassified,Daylight,Raining no high winds,208
2015,North West,E12000002,Urban,Unclassified,Daylight,Snowing no high winds,9
2015,North West,E12000002,Urban,Unclassified,Daylight,Fine + high winds,37
2015,North West,E12000002,Urban,Unclassified,Daylight,Raining + high winds,27
2015,North West,E12000002,Urban,Unclassified,Daylight,Snowing + high winds,2
2015,North West,E12000002,Urban,Unclassified,Daylight,Fog or mist,7
2015,North West,E12000002,Urban,Unclassified,Daylight,Other,23
2015,North West,E12000002,Urban,Unclassified,Darkness - lights lit,Unknown,25
2015,North West,E12000002,Urban,Unclassified,Darkness - lights lit,Fine no high winds,654
2015,North West,E12000002,Urban,Unclassified,Darkness - lights lit,Raining no high winds,161
2015,North West,E12000002,Urban,Unclassified,Darkness - lights lit,Snowing no high winds,2
2015,North West,E12000002,Urban,Unclassified,Darkness - lights lit,Fine + high winds,29
2015,North West,E12000002,Urban,Unclassified,Darkness - lights lit,Raining + high winds,41
2015,North West,E12000002,Urban,Unclassified,Darkness - lights lit,Snowing + high winds,1
2015,North West,E12000002,Urban,Unclassified,Darkness - lights lit,Fog or mist,3
